filmeId,nota_media,Horror,Crime,Children,Thriller,Film-Noir,Documentary,Fantasy,Mystery,Comedy,Drama,Musical,Adventure,Romance,War,Animation,IMAX,Action,Western,Sci-Fi,class
553,3.815384615384616,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4
590,3.8353658536585367,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,4
592,3.4285714285714284,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
593,4.161290322580645,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
596,3.45,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4
608,4.116022099447513,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
648,3.537037037037037,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4
661,3.4489795918367347,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,4
673,2.707547169811321,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,4
733,3.6404958677685952,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4
736,3.321138211382113,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,4
780,3.4455445544554446,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
804,3.25,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4
919,3.8804347826086962,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4
923,4.043478260869565,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4
940,4.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,4
943,3.928571428571429,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,4
954,4.083333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
1009,3.055555555555556,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4
1023,3.615384615384616,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4
1024,3.6666666666666665,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4
1025,3.58,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4
1029,3.3857142857142857,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4
1030,2.7666666666666666,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,4
1031,3.4791666666666665,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4
1032,3.375,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,4
1042,3.273809523809524,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
1049,3.4761904761904763,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4
1060,3.6944444444444446,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
1073,3.8739495798319328,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4
1080,3.926966292134832,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
1089,4.202290076335878,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
1090,3.9841269841269837,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4
1092,3.191489361702128,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
1097,3.766393442622951,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4
1127,3.4758064516129035,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
1136,4.161764705882353,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4
1196,4.2156398104265405,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
1197,4.232394366197183,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,4
1198,4.2075,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4
1206,3.995833333333333,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4
1208,4.219626168224299,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4
1210,4.137755102040817,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
1213,4.25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
1214,3.9691780821917813,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
1219,4.036144578313253,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1220,3.809523809523808,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,4
1222,4.098039215686274,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4
1224,4.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,4
1226,3.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4
1240,3.896946564885496,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
1256,3.804347826086957,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,4
1258,4.08256880733945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1265,3.944055944055944,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,4
1270,4.038011695906433,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4
1275,3.7291666666666665,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4
1278,3.9927536231884058,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4
1282,3.783018867924529,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4
1291,4.046428571428572,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4
1298,3.760869565217391,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4
1348,3.53125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1377,3.025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
1396,3.4782608695652173,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,4
1408,3.8333333333333335,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,4
1445,2.142857142857143,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4
1473,4.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,4
1500,3.6101694915254243,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4
1517,3.535,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,4
1552,3.0338983050847457,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4
1573,3.3701298701298703,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4
1580,3.4878787878787882,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4
1587,3.2580645161290325,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4
1617,4.0618556701030935,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
1620,3.1153846153846154,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4
1625,3.701298701298701,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4
1644,2.109375,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
1676,3.33125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
1732,3.924528301886793,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
1777,3.4196428571428568,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4
1793,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
1804,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
1805,3.0161290322580645,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4
1920,2.833333333333333,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4
1927,4.35,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4
1954,3.828125,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
1967,3.821428571428572,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4
2000,3.673333333333333,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,4
2005,3.5701754385964914,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,4
2012,3.3693181818181817,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,4
2018,3.3684210526315788,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4
2028,4.1462765957446805,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4
2033,3.75,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,4
2046,3.208333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4
2048,3.5625,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4
2054,2.7573529411764706,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4
2058,3.35,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,4
2078,3.830188679245283,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,4
2090,3.1923076923076925,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,4
2093,3.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4
2094,3.2564102564102564,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
2096,3.4090909090909087,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4
2099,3.4166666666666665,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,4
2105,3.34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
2115,3.638888888888889,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4
2116,3.1333333333333333,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,4
2137,3.5476190476190474,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
2139,3.4761904761904763,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,4
2141,3.1666666666666665,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4
2143,3.0769230769230766,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,4
2161,3.581395348837209,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4
2174,3.4725274725274726,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4
2193,3.3375,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4
2253,2.375,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4
2268,3.789473684210527,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
2273,3.261904761904762,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4
2291,3.7,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,4
2329,4.217054263565892,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
2338,2.055555555555556,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
2353,3.492537313432837,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
2366,3.64,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4
2387,3.4375,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
2389,1.8888888888888888,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2395,3.5446428571428568,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
2406,3.453703703703704,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,4
2414,3.363636363636364,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,4
2427,3.3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4
2450,2.15625,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4
2459,3.2692307692307687,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2470,3.1754385964912277,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4
2478,3.1346153846153846,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4
2492,3.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4
2502,4.090425531914893,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
2528,3.2291666666666665,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
2529,3.803571428571429,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4
2542,4.052238805970149,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
2571,4.192446043165468,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
2580,3.9615384615384617,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
2596,3.7916666666666665,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
2616,2.8846153846153846,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
2617,3.1206896551724137,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,4
2628,3.1071428571428568,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
2640,3.60655737704918,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
2641,3.0204081632653064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
2644,3.333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2648,3.9090909090909087,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4
2654,3.6,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4
2657,3.3412698412698414,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,4
2692,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
2700,3.861842105263158,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,4
2716,3.775,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4
2761,4.051282051282051,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,4
2797,3.7197802197802203,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,4
2826,2.9038461538461537,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4
2858,4.056372549019608,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4
2872,3.64,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4
2899,3.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4
2916,3.6534090909090913,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
2944,3.96875,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4
2947,3.8396226415094334,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4
2948,3.75,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4
2949,3.712121212121212,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4
2959,4.272935779816514,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4
2985,3.3714285714285714,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4
2987,3.5721649484536084,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,4
2991,3.695652173913044,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4
2993,3.4791666666666665,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4
2997,3.954545454545455,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,4
3033,3.483050847457627,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
3034,3.513888888888889,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,4
3052,3.645569620253165,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4
3053,3.9090909090909087,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4
3062,4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4
3147,4.148648648648647,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
3168,3.603448275862069,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4
3176,3.3367346938775517,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4
3243,2.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
3247,3.0277777777777777,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
3253,3.4754098360655736,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
3273,2.6724137931034484,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4
3386,3.5,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4
3439,2.6923076923076925,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4
3440,2.071428571428572,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,4
3441,3.4285714285714284,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4
3448,3.802325581395349,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,4
3450,3.2931034482758617,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4
3479,3.333333333333333,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,4
3489,3.3584905660377364,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4
3527,3.581967213114754,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
3578,3.9382352941176473,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4
3617,3.0853658536585367,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
3639,3.583333333333333,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4
3671,3.9354838709677415,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4
3702,3.486842105263158,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
3703,4.0375,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
3729,4.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4
3740,3.8571428571428568,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,4
3744,2.6578947368421053,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
3793,3.699248120300752,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
3809,3.271428571428572,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
4006,3.3571428571428568,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4
5060,3.934782608695652,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,4
318,4.4290220820189266,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
1704,4.078014184397163,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4
6874,3.9618320610687023,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
8798,3.761363636363636,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4
46970,3.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
48516,4.2523364485981325,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
58559,4.238255033557047,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2
60756,3.5535714285714284,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
68157,4.136363636363637,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2
71535,3.8773584905660377,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
74458,4.022388059701494,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
77455,4.038461538461538,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
79132,4.066433566433567,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,2
80489,3.954545454545455,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
80906,4.291666666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
86345,4.055555555555555,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
89774,3.727272727272727,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
91529,3.9934210526315774,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
91658,3.488095238095238,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
99114,3.943661971830986,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
106782,3.9166666666666665,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
109487,3.993150684931507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
112552,4.039473684210527,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
114060,2.833333333333333,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
115713,3.9107142857142856,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
122882,3.8191489361702127,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
131724,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,3.1842105263157894,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
647,3.327586206896552,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4
688,2.333333333333333,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,4
720,4.0925925925925934,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4
849,2.9204545454545454,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
914,4.042857142857144,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,4
1093,3.4054054054054053,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
1124,3.6538461538461537,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
1263,3.825581395348837,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4
1272,4.121212121212121,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4
1302,3.5178571428571432,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4
1371,3.0444444444444443,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4
2080,3.4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4
2288,3.933333333333333,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
